"","X.2","Rk","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","WinorLoss","Year","StreakNo","Count"
"3505",104,102,"102","Thursday Jul 23","boxscore","ATL","@","PHI","W",3,2,NA,"67-35",1,"up13.0","Millwood","Green","Ligtenberg","2:34","N",28222,"++","W",1998,41,1
"3506",105,103,"103","Friday Jul 24","boxscore","ATL","@","PIT","W",3,0,NA,"68-35",1,"up12.5","Smoltz","Peters","","2:08","N",24776,"+++","W",1998,41,1
"3507",106,104,"104","Saturday Jul 25","boxscore","ATL","@","PIT","L",1,4,NA,"68-36",1,"up12.5","Cordova","Neagle","Christiansen","2:40","N",41568,"-","L",1998,42,1
"3508",107,105,"105","Sunday Jul 26","boxscore","ATL","@","PIT","W",2,1,NA,"69-36",1,"up13.5","Maddux","Schmidt","Ligtenberg","2:26","D",34925,"+","W",1998,43,1
"3509",108,106,"106","Monday Jul 27","boxscore","ATL","@","CIN","W",3,2,10,"70-36",1,"up14.0","Seanez","Belinda","Ligtenberg","3:22","N",23866,"++","W",1998,43,1
"3510",109,107,"107","Tuesday Jul 28","boxscore","ATL","@","CIN","L",1,13,NA,"70-37",1,"up13.0","Sullivan","Millwood","","2:52","N",22690,"-","L",1998,44,1
"3511",110,108,"108","Wednesday Jul 29","boxscore","ATL","@","CIN","W",11,5,NA,"71-37",1,"up13.0","Seanez","Parris","","3:25","N",24480,"+","W",1998,45,1
"3512",111,109,"109","Thursday Jul 30","boxscore","ATL","@","CIN","W",13,3,NA,"72-37",1,"up14.0","Neagle","Krivda","","2:49","D",28946,"++","W",1998,45,1
"3513",112,110,"110","Friday Jul 31","boxscore","ATL","","STL","L",2,3,NA,"72-38",1,"up14.0","Mercker","Maddux","Painter","2:24","N",50662,"-","L",1998,46,1
"3514",113,111,"111","Saturday Aug 1","boxscore","ATL","","STL","W",3,1,NA,"73-38",1,"up14.0","Seanez","Croushore","Ligtenberg","3:00","D",50137,"+","W",1998,47,1
"3515",114,112,"112","Sunday Aug 2","boxscore","ATL","","STL","W",4,3,NA,"74-38",1,"up14.0","Millwood","Witt","Ligtenberg","2:44","D",49296,"++","W",1998,47,1
"3516",115,113,"113","Tuesday Aug 4","boxscore","ATL","","CIN","W",4,2,NA,"75-38",1,"up14.5","Smoltz","Sullivan","Ligtenberg","2:29","N",43012,"+++","W",1998,47,1
"3517",116,114,"114","Wednesday Aug 5","boxscore","ATL","","CIN","L",9,13,NA,"75-39",1,"up14.5","Hudek","Springer","","3:18","N",43315,"-","L",1998,48,1
"3518",117,115,"115","Thursday Aug 6","boxscore","ATL","","CIN","W",5,0,NA,"76-39",1,"up14.5","Maddux","Remlinger","","2:05","N",47311,"+","W",1998,49,1
"3519",118,116,"116","Friday Aug 7","boxscore","ATL","@","SFG","W",5,0,NA,"77-39",1,"up14.5","Glavine","Rueter","","2:14","N",29676,"++","W",1998,49,1
"3520",119,117,"117","Saturday Aug 8","boxscore","ATL","@","SFG","W",14,6,NA,"78-39",1,"up14.5","Millwood","Darwin","","2:58","D",39174,"+++","W",1998,49,1
"3521",120,118,"118","Sunday Aug 9","boxscore","ATL","@","SFG","W",7,5,NA,"79-39",1,"up15.5","Martinez","Mesa","Ligtenberg","3:11","N",43957,"++++","W",1998,49,1
"3522",121,119,"119","Tuesday Aug 11","boxscore","ATL","@","SDP","L",1,3,NA,"79-40",1,"up14.0","Hamilton","Neagle","Hoffman","2:09","N",31430,"-","L",1998,50,1
"3523",122,120,"120","Wednesday Aug 12","boxscore","ATL","@","SDP","L",1,5,NA,"79-41",1,"up14.0","Ashby","Maddux","","2:20","N",40597,"--","L",1998,50,1
"3524",123,121,"121","Thursday Aug 13","boxscore","ATL","@","SDP","W",5,0,NA,"80-41",1,"up14.5","Glavine","Langston","","2:30","D",34547,"+","W",1998,51,1
"3525",124,122,"122","Friday Aug 14","boxscore","ATL","@","LAD","W",5,2,NA,"81-41",1,"up14.5","Millwood","Mlicki","Ligtenberg","2:56","N",43560,"++","W",1998,51,1
"3526",125,123,"123","Saturday Aug 15","boxscore","ATL","@","LAD","W",5,3,NA,"82-41",1,"up14.5","Smoltz","Park","Ligtenberg","2:53","D",41240,"+++","W",1998,51,1
"3527",126,124,"124","Sunday Aug 16","boxscore","ATL","@","LAD","L",0,1,NA,"82-42",1,"up14.5","Radinsky","Neagle","Shaw","2:35","N",44471,"-","L",1998,52,1
"3528",127,125,"125","Tuesday Aug 18","boxscore","ATL","","SFG","W",8,4,NA,"83-42",1,"up14.0","Maddux","Rueter","","2:48","N",42986,"+","W",1998,53,1
"3529",128,126,"126","Wednesday Aug 19","boxscore","ATL","","SFG","L",2,6,NA,"83-43",1,"up13.0","Gardner","Glavine","","2:59","N",44535,"-","L",1998,54,1
"3530",129,127,"127","Thursday Aug 20","boxscore","ATL","","SDP","L",0,2,NA,"83-44",1,"up12.5","Brown","Millwood","Hoffman","2:47","N",43730,"--","L",1998,54,1
"3531",130,128,"128","Friday Aug 21","boxscore","ATL","","SDP","W",5,4,NA,"84-44",1,"up13.0","Smoltz","Hamilton","Ligtenberg","2:16","N",48268,"+","W",1998,55,1
"3532",131,129,"129","Saturday Aug 22","boxscore","ATL","","LAD","W",7,5,NA,"85-44",1,"up13.0","Neagle","Dreifort","Ligtenberg","3:04","D",48326,"++","W",1998,55,1
"3533",132,130,"130","Sunday Aug 23","boxscore","ATL","","LAD","W",12,7,NA,"86-44",1,"up14.0","Maddux","Perez","","3:11","N",45179,"+++","W",1998,55,1
"3534",133,131,"131","Monday Aug 24","boxscore","ATL","","LAD","W",4,3,NA,"87-44",1,"up15.0","Glavine","Shaw","Ligtenberg","2:42","D",39449,"++++","W",1998,55,1
"3535",134,132,"132","Tuesday Aug 25","boxscore","ATL","@","HOU","L",2,3,NA,"87-45",1,"up15.0","Hampton","Millwood","Wagner","2:24","N",32157,"-","L",1998,56,1
"3536",135,133,"133","Wednesday Aug 26","boxscore","ATL","@","HOU","W",6,2,NA,"88-45",1,"up15.0","Smoltz","Bergman","","2:48","N",32651,"+","W",1998,57,1
"3537",136,134,"134","Thursday Aug 27","boxscore","ATL","@","STL","W",6,4,NA,"89-45",1,"up16.0","Neagle","Morris","Ligtenberg","2:33","N",33889,"++","W",1998,57,1
"3538",137,135,"135","Friday Aug 28","boxscore","ATL","@","STL","L-wo",4,5,10,"89-46",1,"up15.0","Acevedo","Martinez","","3:28","N",45666,"-","L",1998,58,1
"3539",138,136,"136","Saturday Aug 29","boxscore","ATL","@","STL","W",4,3,NA,"90-46",1,"up15.0","Glavine","Bottenfield","Seanez","3:02","D",47627,"+","W",1998,59,1
"3540",139,137,"137","Sunday Aug 30","boxscore","ATL","@","STL","L",7,8,NA,"90-47",1,"up15.0","Petkovsek","Martinez","Acevedo","2:45","N",44051,"-","L",1998,60,1
"3541",140,138,"138","Monday Aug 31","boxscore","ATL","","HOU","L",3,4,NA,"90-48",1,"up14.0","Powell","Smoltz","Wagner","2:43","N",33883,"--","L",1998,60,1
"3542",141,139,"139","Tuesday Sep 1","boxscore","ATL","","HOU","W",6,4,NA,"91-48",1,"up15.0","Neagle","Elarton","Ligtenberg","3:06","N",31168,"+","W",1998,61,1
"3543",142,140,"140","Wednesday Sep 2","boxscore","ATL","","HOU","L",2,4,NA,"91-49",1,"up14.0","Johnson","Maddux","Wagner","2:22","N",46238,"-","L",1998,62,1
"3544",143,141,"141","Friday Sep 4","boxscore","ATL","@","NYM","L",1,2,NA,"91-50",1,"up13.0","Leiter","Glavine","","2:13","N",34617,"--","L",1998,62,1
"3545",144,142,"142","Saturday Sep 5","boxscore","ATL","@","NYM","L",4,5,NA,"91-51",1,"up12.0","Wendell","Seanez","Franco","3:10","D",43573,"---","L",1998,62,1
"3546",145,143,"143","Sunday Sep 6","boxscore","ATL","@","NYM","W",4,0,NA,"92-51",1,"up13.0","Smoltz","Reed","","2:15","D",40311,"+","W",1998,63,1
"3547",146,144,"144","Monday Sep 7","boxscore","ATL","@","NYM","L",7,8,NA,"92-52",1,"up12.0","McMichael","Rocker","Franco","3:01","D",22953,"-","L",1998,64,1
"3548",147,145,"145","Tuesday Sep 8","boxscore","ATL","@","MON","L",3,6,NA,"92-53",1,"up12.0","Batista","Maddux","Urbina","2:46","N",7216,"--","L",1998,64,1
"3549",148,146,"146","Wednesday Sep 9","boxscore","ATL","@","MON","L-wo",2,3,NA,"92-54",1,"up11.0","Urbina","Rocker","","2:33","N",7842,"---","L",1998,64,1
"3550",149,147,"147","Thursday Sep 10","boxscore","ATL","@","MON","W",7,4,NA,"93-54",1,"up11.0","Millwood","Thurman","Ligtenberg","2:42","N",8455,"+","W",1998,65,1
"3551",150,148,"148","Friday Sep 11","boxscore","ATL","","FLA","W",8,2,NA,"94-54",1,"up12.0","Smoltz","Ojala","","2:44","N",47235,"++","W",1998,65,1
"3552",151,149,"149","Saturday Sep 12","boxscore","ATL","","FLA","W",4,2,NA,"95-54",1,"up13.0","Chen","Hernandez","Ligtenberg","2:30","N",48797,"+++","W",1998,65,1
"3553",152,150,"150","Sunday Sep 13","boxscore","ATL","","FLA","L",5,6,NA,"95-55",1,"up12.0","Sanchez","Perez","Mantei","2:54","D",45683,"-","L",1998,66,1
"3554",154,151,"151","Monday Sep 14","boxscore","ATL","","PHI","W",4,2,NA,"96-55",1,"up12.0","Glavine","Schilling","Ligtenberg","2:44","N",33367,"+","W",1998,67,1
"3555",155,152,"152","Tuesday Sep 15","boxscore","ATL","","PHI","W",3,0,NA,"97-55",1,"up12.5","Millwood","Green","Charlton","2:32","N",35478,"++","W",1998,67,1
"3556",156,153,"153","Wednesday Sep 16","boxscore","ATL","","PHI","W",5,1,NA,"98-55",1,"up12.5","Smoltz","Loewer","","2:18","D",34961,"+++","W",1998,67,1
"3557",157,154,"154","Thursday Sep 17","boxscore","ATL","@","ARI","W",1,0,NA,"99-55",1,"up13.0","Neagle","Daal","Ligtenberg","2:07","N",43251,"++++","W",1998,67,1
"3558",158,155,"155","Friday Sep 18","boxscore","ATL","@","ARI","L",0,5,NA,"99-56",1,"up13.0","Benes","Maddux","","2:31","N",46434,"-","L",1998,68,1
"3559",159,156,"156","Saturday Sep 19","boxscore","ATL","@","ARI","W",5,0,NA,"100-56",1,"up13.0","Glavine","Anderson","","2:18","N",48405,"+","W",1998,69,1
"3560",160,157,"157","Sunday Sep 20","boxscore","ATL","@","ARI","W",10,0,NA,"101-56",1,"up13.0","Chen","Telemaco","","2:36","D",44876,"++","W",1998,69,1
"3561",161,158,"158","Tuesday Sep 22","boxscore","ATL","@","FLA","W",4,1,NA,"102-56",1,"up14.0","Millwood","Medina","Ligtenberg","2:29","N",23355,"+++","W",1998,69,1
"3562",162,159,"159","Wednesday Sep 23","boxscore","ATL","@","FLA","W",11,0,NA,"103-56",1,"up15.0","Smoltz","Ojala","","2:25","N",22469,"++++","W",1998,69,1
"3563",163,160,"160","Friday Sep 25","boxscore","ATL","","NYM","W",6,5,NA,"104-56",1,"up16.0","Martinez","Reed","Rocker","3:11","N",48443,"+++++","W",1998,69,1
"3564",164,161,"161","Saturday Sep 26","boxscore","ATL","","NYM","W",4,0,NA,"105-56",1,"up17.0","Neagle","Leiter","","2:51","N",48117,"++++++","W",1998,69,1
"3565",165,162,"162","Sunday Sep 27","boxscore","ATL","","NYM","W",7,2,NA,"106-56",1,"up18.0","Maddux","Reynoso","","3:07","D",48685,"+++++++","W",1998,69,1
"3566",167,NA,"NLDS Game 1","Wednesday Sep 30","boxscore","ATL","","CHC","W",7,1,NA,"1-0",NA,"","Smoltz","Clark","","2:34","D",45598,"","W",1998,69,1
"3567",168,NA,"NLDS Game 2","Thursday Oct 1","boxscore","ATL","","CHC","W",2,1,10,"2-0",NA,"","Perez","Mulholland","","2:47","N",51713,"","W",1998,69,1
"3568",169,NA,"NLDS Game 3","Saturday Oct 3","boxscore","ATL","@","CHC","W",6,2,NA,"3-0",NA,"","Maddux","Wood","","2:57","N",39597,"","W",1998,69,1
"3569",170,NA,"NLCS Game 1","Wednesday Oct 7","boxscore","ATL","","SDP","L",2,3,10,"3-1",NA,"","Hoffman","Ligtenberg","Wall","3:27","N",42117,"","L",1998,70,1
"3570",171,NA,"NLCS Game 2","Thursday Oct 8","boxscore","ATL","","SDP","L",0,3,NA,"3-2",NA,"","Brown","Glavine","","2:54","N",43083,"","L",1998,70,1
"3571",172,NA,"NLCS Game 3","Saturday Oct 10","boxscore","ATL","@","SDP","L",1,4,NA,"3-3",NA,"","Hitchcock","Maddux","Hoffman","3:00","D",62799,"","L",1998,70,1
"3572",173,NA,"NLCS Game 4","Sunday Oct 11","boxscore","ATL","@","SDP","W",8,3,NA,"4-3",NA,"","Martinez","Hamilton","","2:58","D",65042,"","W",1998,71,1
"3573",174,NA,"NLCS Game 5","Monday Oct 12","boxscore","ATL","@","SDP","W",7,6,NA,"5-3",NA,"","Rocker","Brown","Maddux","3:17","N",58988,"","W",1998,71,1
"3574",175,NA,"NLCS Game 6","Wednesday Oct 14","boxscore","ATL","","SDP","L",0,5,NA,"5-4",NA,"","Hitchcock","Glavine","","3:10","N",50988,"","L",1998,72,1
"3575",1,1,"1","Monday Apr 5","boxscore","ATL","","PHI","L",4,7,NA,"0-1",4,"1.0","Schilling","Glavine","Brantley","2:47","D",47522,"-","L",1999,1,1
"3576",2,2,"2","Tuesday Apr 6","boxscore","ATL","","PHI","W",11,3,NA,"1-1",1,"Tied","Maddux","Ogea","Ebert","2:52","N",29183,"+","W",1999,2,1
"3577",3,3,"3","Wednesday Apr 7","boxscore","ATL","","PHI","W",4,0,NA,"2-1",1,"Tied","Smoltz","Loewer","","2:20","N",32164,"++","W",1999,2,1
"3578",4,4,"4","Thursday Apr 8","boxscore","ATL","","PHI","L",3,6,NA,"2-2",2,"1.0","Byrd","Millwood","Brantley","2:54","N",47225,"-","L",1999,3,1
"3579",5,5,"5","Friday Apr 9","boxscore","ATL","","ARI","W-wo",3,2,10,"3-2",1,"Tied","Rocker","Frascatore","","3:09","N",34939,"+","W",1999,4,1
"3580",6,6,"6","Saturday Apr 10","boxscore","ATL","","ARI","L",3,8,NA,"3-3",2,"1.0","Johnson","Glavine","","2:32","N",44531,"-","L",1999,5,1
"3581",7,7,"7","Sunday Apr 11","boxscore","ATL","","ARI","W-wo",3,2,NA,"4-3",2,"1.0","McGlinchy","Olson","","2:24","D",32454,"+","W",1999,6,1
"3582",8,8,"8","Monday Apr 12","boxscore","ATL","@","PHI","W",8,6,NA,"5-3",2,"1.0","Cather","Ryan","Seanez","3:03","D",37582,"++","W",1999,6,1
"3583",9,9,"9","Wednesday Apr 14","boxscore","ATL","@","PHI","W",10,4,NA,"6-3",2,"1.0","Millwood","Byrd","","2:55","N",16287,"+++","W",1999,6,1
"3584",10,10,"10","Saturday Apr 17","boxscore","ATL","@","COL","L-wo",4,5,NA,"6-4",2,"1.0","McElroy","Rocker","","2:45","D",42510,"-","L",1999,7,1
"3585",11,11,"11","Sunday Apr 18","boxscore","ATL","@","COL","W",20,5,NA,"7-4",1,"Tied","Maddux","Astacio","","3:09","D",44285,"+","W",1999,8,1
"3586",12,12,"12","Monday Apr 19","boxscore","ATL","@","LAD","W",11,3,NA,"8-4",1,"up 0.5","Smoltz","Perez","","3:01","N",31454,"++","W",1999,8,1
"3587",13,13,"13","Tuesday Apr 20","boxscore","ATL","@","LAD","L",4,5,NA,"8-5",2,"0.5","Dreifort","Millwood","Shaw","3:24","N",37717,"-","L",1999,9,1
"3588",14,14,"14","Wednesday Apr 21","boxscore","ATL","@","LAD","W",11,4,12,"9-5",1,"up 0.5","Remlinger","Kubenka","","4:17","N",31902,"+","W",1999,10,1
"3589",15,15,"15","Friday Apr 23","boxscore","ATL","@","FLA","L",1,9,NA,"9-6",2,"1.0","Hernandez","Glavine","","2:29","N",21713,"-","L",1999,11,1
"3590",16,16,"16","Saturday Apr 24","boxscore","ATL","@","FLA","W",8,7,NA,"10-6",1,"Tied","Maddux","Edmondson","Rocker","3:09","N",32591,"+","W",1999,12,1
"3591",17,17,"17","Sunday Apr 25","boxscore","ATL","@","FLA","W",5,1,NA,"11-6",1,"up 1.0","Smoltz","Meadows","","2:41","D",28636,"++","W",1999,12,1
"3592",18,18,"18","Monday Apr 26","boxscore","ATL","@","FLA","W",5,3,NA,"12-6",1,"up 1.5","Seanez","Alfonseca","","2:51","N",15397,"+++","W",1999,12,1
"3593",19,19,"19","Tuesday Apr 27","boxscore","ATL","","PIT","L",3,5,NA,"12-7",1,"up 1.0","Schmidt","Perez","Williams","2:37","N",26990,"-","L",1999,13,1
"3594",20,20,"20","Wednesday Apr 28","boxscore","ATL","","PIT","W-wo",5,4,NA,"13-7",1,"up 1.5","Glavine","Christiansen","","2:32","N",29615,"+","W",1999,14,1
"3595",21,21,"21","Thursday Apr 29","boxscore","ATL","","PIT","W",8,1,NA,"14-7",1,"up 1.5","Maddux","Silva","","2:23","N",32017,"++","W",1999,14,1
"3596",22,22,"22","Friday Apr 30","boxscore","ATL","","CIN","W",3,0,NA,"15-7",1,"up 1.5","Smoltz","Avery","","2:13","N",36923,"+++","W",1999,14,1
"3597",23,23,"23","Saturday May 1","boxscore","ATL","","CIN","W",5,1,NA,"16-7",1,"up 1.5","Millwood","Harnisch","","2:22","N",47097,"++++","W",1999,14,1
"3598",24,24,"24","Sunday May 2","boxscore","ATL","","CIN","W",5,3,NA,"17-7",1,"up 1.5","Perez","Neagle","Rocker","2:34","D",42036,"+++++","W",1999,14,1
"3599",25,25,"25","Monday May 3","boxscore","ATL","","STL","W",4,2,NA,"18-7",1,"up 1.5","Remlinger","Jimenez","Rocker","2:44","N",37676,"++++++","W",1999,14,1
"3600",26,26,"26","Tuesday May 4","boxscore","ATL","","STL","L",1,9,NA,"18-8",1,"up 1.5","Aybar","Maddux","","2:56","N",39161,"-","L",1999,15,1
"3601",27,27,"27","Wednesday May 5","boxscore","ATL","","STL","W",12,3,NA,"19-8",1,"up 2.5","Smoltz","Bottenfield","","2:59","D",44350,"+","W",1999,16,1
"3602",28,28,"28","Friday May 7","boxscore","ATL","@","SDP","L",3,4,NA,"19-9",1,"up 2.5","Boehringer","Rocker","Hoffman","2:28","N",26765,"-","L",1999,17,1
"3603",29,29,"29","Saturday May 8","boxscore","ATL","@","SDP","W",11,1,NA,"20-9",1,"up 2.5","Glavine","Ashby","","2:45","N",52973,"+","W",1999,18,1
"3604",30,30,"30","Sunday May 9","boxscore","ATL","@","SDP","L",0,5,NA,"20-10",1,"up 2.5","Hitchcock","Maddux","","2:22","D",23711,"-","L",1999,19,1
"3605",31,31,"31","Monday May 10","boxscore","ATL","@","SFG","L",1,4,NA,"20-11",1,"up 2.5","Ortiz","Smoltz","Nen","2:31","N",14694,"--","L",1999,19,1
"3606",32,32,"32","Tuesday May 11","boxscore","ATL","@","SFG","W",9,8,12,"21-11",1,"up 3.0","Rocker","Rodriguez","","4:22","N",18917,"+","W",1999,20,1
"3607",33,33,"33","Wednesday May 12","boxscore","ATL","@","SFG","L",1,5,NA,"21-12",1,"up 2.0","Brock","Millwood","","3:15","D",18550,"-","L",1999,21,1
"3608",34,34,"34","Friday May 14","boxscore","ATL","@","CHC","L",0,9,NA,"21-13",1,"up 1.5","Lieber","Glavine","","2:40","D",40046,"--","L",1999,21,1
"3609",35,35,"35","Saturday May 15","boxscore","ATL","@","CHC","L",1,5,NA,"21-14",1,"up 0.5","Trachsel","Maddux","","2:24","D",40332,"---","L",1999,21,1
"3610",36,36,"36","Sunday May 16","boxscore","ATL","@","CHC","W",8,5,NA,"22-14",1,"up 1.5","McGlinchy","Myers","Rocker","3:00","D",39915,"+","W",1999,22,1
"3611",37,37,"37","Monday May 17","boxscore","ATL","","PIT","W",2,1,NA,"23-14",1,"up 2.0","Millwood","Ritchie","Rocker","2:13","N",30673,"++","W",1999,22,1
"3612",38,38,"38","Tuesday May 18","boxscore","ATL","","PIT","W",12,4,NA,"24-14",1,"up 3.0","Perez","Schmidt","","2:48","N",30858,"+++","W",1999,22,1
"3613",39,39,"39","Wednesday May 19","boxscore","ATL","","PIT","W",7,3,NA,"25-14",1,"up 4.0","Glavine","Cordova","","2:37","D",34106,"++++","W",1999,22,1
"3614",40,40,"40","Thursday May 20","boxscore","ATL","","CHC","L",5,6,12,"25-15",1,"up 2.5","Serafini","McGlinchy","","3:55","N",38588,"-","L",1999,23,1
"3615",41,41,"41","Friday May 21","boxscore","ATL","","CHC","L",4,8,NA,"25-16",1,"up 1.5","Adams","McGlinchy","","2:57","N",48315,"--","L",1999,23,1
"3616",42,42,"42","Saturday May 22","boxscore","ATL","","CHC","W",4,2,NA,"26-16",1,"up 2.5","Millwood","Tapani","Rocker","2:29","N",49077,"+","W",1999,24,1
"3617",43,43,"43","Sunday May 23","boxscore","ATL","","CHC","L",1,5,NA,"26-17",1,"up 1.5","Mulholland","Perez","","2:30","D",48782,"-","L",1999,25,1
"3618",44,44,"44","Monday May 24","boxscore","ATL","@","MIL","L",7,10,NA,"26-18",1,"up 1.5","Woodard","Glavine","","2:54","N",14913,"--","L",1999,25,1
"3619",45,45,"45","Tuesday May 25","boxscore","ATL","@","MIL","W",5,2,NA,"27-18",1,"up 1.5","Seanez","Wickman","Rocker","2:53","N",15286,"+","W",1999,26,1
"3620",46,46,"46","Wednesday May 26","boxscore","ATL","@","MIL","W",3,2,10,"28-18",1,"up 1.5","Seanez","Weathers","Rocker","3:30","N",18460,"++","W",1999,26,1
"3621",47,47,"47","Thursday May 27","boxscore","ATL","@","MIL","W",8,7,NA,"29-18",1,"up 2.0","Millwood","Karl","Seanez","2:59","D",22252,"+++","W",1999,26,1
"3622",48,48,"48","Friday May 28","boxscore","ATL","","LAD","W",4,2,NA,"30-18",1,"up 3.0","Perez","Dreifort","Rocker","2:38","N",41953,"++++","W",1999,26,1
"3623",49,49,"49","Saturday May 29","boxscore","ATL","","LAD","L",1,2,NA,"30-19",1,"up 3.0","Perez","Glavine","Shaw","2:47","N",49258,"-","L",1999,27,1
"3624",50,50,"50","Sunday May 30","boxscore","ATL","","LAD","L",4,5,11,"30-20",1,"up 3.0","Borbon","Remlinger","Shaw","3:19","D",47166,"--","L",1999,27,1
"3625",52,51,"51","Monday May 31","boxscore","ATL","","COL","W",3,1,NA,"31-20",1,"up 4.0","Millwood","Astacio","Rocker","2:11","N",34136,"+","W",1999,28,1
"3626",53,52,"52","Tuesday Jun 1","boxscore","ATL","","COL","W",7,2,NA,"32-20",1,"up 5.0","Smoltz","Jones","","2:54","N",30297,"++","W",1999,28,1
"3627",54,53,"53","Wednesday Jun 2","boxscore","ATL","","COL","L",2,3,11,"32-21",1,"up 5.0","Dipoto","Springer","","3:15","N",32429,"-","L",1999,29,1
"3628",55,54,"54","Friday Jun 4","boxscore","ATL","@","BOS","L",1,5,NA,"32-22",1,"up 4.5","Martinez","Glavine","","2:14","N",33411,"--","L",1999,29,1
"3629",56,55,"55","Saturday Jun 5","boxscore","ATL","@","BOS","W",6,5,NA,"33-22",1,"up 5.5","Maddux","Gordon","Rocker","2:44","D",32793,"+","W",1999,30,1
"3630",57,56,"56","Sunday Jun 6","boxscore","ATL","@","BOS","W",3,2,10,"34-22",1,"up 5.5","Seanez","Portugal","Rocker","3:09","D",32184,"++","W",1999,30,1
"3631",58,57,"57","Monday Jun 7","boxscore","ATL","","TBD","W",9,5,NA,"35-22",1,"up 5.5","Smoltz","Eiland","Rocker","3:01","N",36731,"+++","W",1999,30,1
"3632",59,58,"58","Tuesday Jun 8","boxscore","ATL","","TBD","W",11,2,NA,"36-22",1,"up 5.5","Perez","Alvarez","","3:08","N",35709,"++++","W",1999,30,1
"3633",60,59,"59","Wednesday Jun 9","boxscore","ATL","","TBD","W-wo",4,3,12,"37-22",1,"up 6.0","McGlinchy","White","","3:56","N",35160,"+++++","W",1999,30,1
"3634",61,60,"60","Friday Jun 11","boxscore","ATL","","BAL","L",2,6,NA,"37-23",1,"up 5.5","Ponson","Maddux","","2:19","N",47428,"-","L",1999,31,1
"3635",62,61,"61","Saturday Jun 12","boxscore","ATL","","BAL","L",0,5,NA,"37-24",1,"up 4.5","Guzman","Millwood","","2:28","D",47923,"--","L",1999,31,1
"3636",63,62,"62","Sunday Jun 13","boxscore","ATL","","BAL","L",1,22,NA,"37-25",1,"up 4.0","Mussina","Smoltz","","3:03","N",45738,"---","L",1999,31,1
"3637",64,63,"63","Monday Jun 14","boxscore","ATL","@","HOU","L",4,10,NA,"37-26",1,"up 4.0","Hampton","Perez","Miller","3:24","N",28243,"----","L",1999,31,1
"3638",65,64,"64","Tuesday Jun 15","boxscore","ATL","@","HOU","W",4,3,NA,"38-26",1,"up 4.0","Glavine","Elarton","Rocker","2:37","N",27941,"+","W",1999,32,1
"3639",66,65,"65","Wednesday Jun 16","boxscore","ATL","@","HOU","W",3,1,NA,"39-26",1,"up 4.0","Maddux","Bergman","Rocker","2:48","N",27756,"++","W",1999,32,1
"3640",67,66,"66","Thursday Jun 17","boxscore","ATL","@","HOU","W",8,5,NA,"40-26",1,"up 4.0","Millwood","Lima","Seanez","2:40","N",39477,"+++","W",1999,32,1
"3641",68,67,"67","Friday Jun 18","boxscore","ATL","@","ARI","W",6,0,NA,"41-26",1,"up 4.0","Smoltz","Benes","","3:25","N",41499,"++++","W",1999,32,1
"3642",69,68,"68","Saturday Jun 19","boxscore","ATL","@","ARI","L",3,7,NA,"41-27",1,"up 4.0","Daal","Perez","","2:35","N",46726,"-","L",1999,33,1
"3643",70,69,"69","Sunday Jun 20","boxscore","ATL","@","ARI","W",10,4,NA,"42-27",1,"up 4.0","Glavine","Johnson","","3:15","N",47235,"+","W",1999,34,1
"3644",71,70,"70","Tuesday Jun 22","boxscore","ATL","","MON","L",1,2,NA,"42-28",1,"up 3.0","Thurman","Maddux","Urbina","3:05","N",37768,"-","L",1999,35,1
"3645",72,71,"71","Wednesday Jun 23","boxscore","ATL","","MON","W",7,3,NA,"43-28",1,"up 3.0","Millwood","Batista","","2:45","N",32186,"+","W",1999,36,1
"3646",73,72,"72","Thursday Jun 24","boxscore","ATL","","MON","W-wo",3,2,11,"44-28",1,"up 3.0","McGlinchy","Mota","","3:31","D",42341,"++","W",1999,36,1
"3647",74,73,"73","Friday Jun 25","boxscore","ATL","","NYM","L",2,10,NA,"44-29",1,"up 2.0","Reed","Perez","","3:11","N",48292,"-","L",1999,37,1
"3648",75,74,"74","Saturday Jun 26","boxscore","ATL","","NYM","W",7,2,NA,"45-29",1,"up 3.0","Glavine","Dotel","","2:59","N",48293,"+","W",1999,38,1
"3649",76,75,"75","Sunday Jun 27","boxscore","ATL","","NYM","W",1,0,NA,"46-29",1,"up 4.0","Maddux","Yoshii","Rocker","2:06","D",46092,"++","W",1999,38,1
"3650",77,76,"76","Monday Jun 28","boxscore","ATL","@","MON","W",13,5,NA,"47-29",1,"up 4.0","Millwood","Batista","","2:46","N",7078,"+++","W",1999,38,1
"3651",78,77,"77","Tuesday Jun 29","boxscore","ATL","@","MON","L-wo",5,6,NA,"47-30",1,"up 3.0","Urbina","Rocker","","2:55","N",7069,"-","L",1999,39,1
"3652",79,78,"78","Wednesday Jun 30","boxscore","ATL","@","MON","L",5,7,NA,"47-31",1,"up 3.0","Kline","McGlinchy","Urbina","2:40","N",7273,"--","L",1999,39,1
"3653",80,79,"79","Thursday Jul 1","boxscore","ATL","@","MON","W",4,1,NA,"48-31",1,"up 3.0","Glavine","Smith","","2:42","D",8874,"+","W",1999,40,1
"3654",81,80,"80","Friday Jul 2","boxscore","ATL","@","NYM","W",16,0,NA,"49-31",1,"up 4.0","Maddux","Yoshii","","2:57","N",51979,"++","W",1999,40,1
